id,completed,ants,randomJumpChance,evaporationRate,minIntensity,maxIntensity,moves,falls,jumps,time,totalTime
15,0,10,0.005,1,10,2000,1,10514,724347,317009,524288
15,0,10,0.005,1,10,2000,1,52915,348661,119508,524288
15,0,10,0.005,1,10,2000,1,17017,557541,206305,524288
15,0,10,0.005,1,10,2000,1,10377,644408,260462,524288
15,0,10,0.005,1,10,2000,1,41517,422794,124764,524288
15,0,10,0.005,1,10,2000,1,10559,739280,332422,524288
15,0,10,0.005,1,10,2000,1,54470,341839,118780,524288
15,0,10,0.005,1,10,2000,1,16865,590253,230005,524288
16,0,10,0.005,1,20,500,1,36501,464915,97075.9,524288
16,0,10,0.005,1,20,500,1,77507,245619,53632.7,524288
16,0,10,0.005,1,20,500,1,37750,343903,83965,524288
16,0,10,0.005,1,20,500,1,60856,277350,64564.1,524288
16,0,10,0.005,1,20,500,1,42848,280553,67127.8,524288
16,0,10,0.005,1,20,500,1,41657,284879,68439.5,524288
16,0,10,0.005,1,20,500,1,42159,248544,65583,524288
16,0,10,0.005,1,20,500,1,24959,555590,121061,524288
16,0,10,0.005,1,20,500,1,42483,243374,63983.7,524288
16,0,10,0.005,1,20,500,1,54047,274117,68216.6,524288
16,0,10,0.005,1,20,500,1,54036,265788,63743.3,524288
16,0,10,0.005,1,20,500,1,49822,358756,74195.4,524288
16,0,10,0.005,1,20,500,1,41978,296663,71254.6,524288
16,0,10,0.005,1,20,500,1,42174,234651,60562.5,524288
16,0,10,0.005,1,20,500,1,34293,466963,84803.8,524288
16,0,10,0.005,1,20,500,1,32456,273394,65659.4,524288
16,0,10,0.005,1,20,500,1,78815,248555,52827.9,524288
16,0,10,0.005,1,20,500,1,55196,258197,65660.7,524288
16,0,10,0.005,1,20,500,1,40075,424219,94298,524288
16,0,10,0.005,1,20,500,1,45235,345520,83468.9,524288
16,0,10,0.005,1,20,500,1,41111,231076,61472.6,524288
16,0,10,0.005,1,20,500,1,37556,474257,99170.6,524288
16,0,10,0.005,1,20,500,1,48132,316674,77721.3,524288
16,0,10,0.005,1,20,500,1,49643,241157,66458,524288
