id,completed,agents,randomJumpChance,learningRate,discountFactor,epsilon,moves,falls,jumps,time,totalTime
78,1,75,0.01,0.15,0.3,0.05,24,1374,13129,314.84,23911
78,1,75,0.01,0.15,0.3,0.05,25,735,7330,175.369,13089.8
78,1,75,0.01,0.15,0.3,0.05,27,2130,21733,1368.89,98781
78,1,75,0.01,0.15,0.3,0.05,25,973,9639,227.101,16981.7
79,1,75,0.01,0.15,0.3,0.1,25,3759,31896,721.432,53411.4
79,1,75,0.01,0.15,0.3,0.1,26,1234,9878,244.562,18360.9
79,1,75,0.01,0.15,0.3,0.1,24,1379,11547,276.295,20867.1
79,1,75,0.01,0.15,0.3,0.1,26,1196,9392,241.357,18106.9
80,1,75,0.01,0.15,0.3,0.15,22,4670,33666,864.904,63465.4
80,0,75,0.01,0.15,0.3,0.15,1,19322,127819,3390.74,241150
80,1,75,0.01,0.15,0.3,0.15,22,3254,22989,567.775,42644.4
80,1,75,0.01,0.15,0.3,0.15,23,3363,24485,660.926,49171.9
81,0,100,0.01,0.05,0.1,0.05,1,18223,115818,2155.56,204349
81,1,100,0.01,0.05,0.1,0.05,27,872,10370,182.747,18286.9
81,1,100,0.01,0.05,0.1,0.05,23,6062,46671,813.328,78868.2
81,1,100,0.01,0.05,0.1,0.05,23,4874,45545,745.681,72547.8
82,1,100,0.01,0.05,0.1,0.1,24,1670,14008,247.199,25075.5
82,1,100,0.01,0.05,0.1,0.1,21,14085,98011,1979,187779
82,1,100,0.01,0.05,0.1,0.1,22,5633,43622,789.982,76687.9
82,1,100,0.01,0.05,0.1,0.1,24,1307,12008,215.082,21693.4
83,1,100,0.01,0.05,0.1,0.15,22,4830,34369,676.262,66062.1
83,1,100,0.01,0.05,0.1,0.15,22,5123,38523,715.997,69774.7
83,1,100,0.01,0.05,0.1,0.15,22,8020,57862,1139.89,109380
83,1,100,0.01,0.05,0.1,0.15,23,5820,38789,759.411,73831.3
84,1,100,0.01,0.05,0.2,0.05,24,2297,25433,408.655,41041.5
84,1,100,0.01,0.05,0.2,0.05,27,1022,11666,202.128,20328.2
84,1,100,0.01,0.05,0.2,0.05,24,4987,51138,862.028,83418.9
84,1,100,0.01,0.05,0.2,0.05,24,7355,67030,1137.43,109150
85,1,100,0.01,0.05,0.2,0.1,24,3430,28878,577.341,56820.5
85,1,100,0.01,0.05,0.2,0.1,23,5599,42883,753.358,73265.9
85,0,100,0.01,0.05,0.2,0.1,1,4110,27527,2548.31,241313
85,1,100,0.01,0.05,0.2,0.1,21,11243,80384,1505.59,143546
86,1,100,0.01,0.05,0.2,0.15,21,4227,29889,562.24,55409.3
86,1,100,0.01,0.05,0.2,0.15,21,12833,85108,1713.6,162982
86,0,100,0.01,0.05,0.2,0.15,1,20869,124045,2637.39,249697
86,1,100,0.01,0.05,0.2,0.15,23,2564,18735,343.869,34978.3
87,1,100,0.01,0.05,0.3,0.05,23,3571,26510,453.576,45246.5
87,1,100,0.01,0.05,0.3,0.05,26,1342,13244,225.164,22755.2
87,1,100,0.01,0.05,0.3,0.05,25,2320,19283,336.674,34304.6
87,1,100,0.01,0.05,0.3,0.05,22,3471,34474,956.466,92242.6
88,1,100,0.01,0.05,0.3,0.1,23,8883,70230,1253.95,120035
88,1,100,0.01,0.05,0.3,0.1,24,2984,25556,447.85,44711
88,1,100,0.01,0.05,0.3,0.1,22,4708,38531,687.065,67071.3
88,0,100,0.01,0.05,0.3,0.1,1,13385,110103,2441.29,231241
