id,ukoñczony poziom,decyzyjne skoki,wartoœæ skoku decyzyjnego,wartoœæ ruchu decyzyjnego,wynikowe ruchy,wynikowe upadki,wynikowe skoki,wynikowy czas,upadki,skoki,czas
352,0,18,10,0.825,0,0,0,36.9412,202,640,36.9412
353,0,18,10,0.85,0,0,0,36.9412,203,640,36.9412
354,0,18,10,0.875,0,0,0,36.9245,188,620,36.9245
355,0,18,10,0.9,0,0,0,36.9245,183,600,36.9245
356,0,18,10,0.925,0,0,0,9.41874,30,220,9.41874
357,0,18,10,0.95,0,0,0,9.41874,30,220,9.41874
358,0,18,10,0.975,0,0,0,9.41874,30,220,9.41874
359,0,18,10,1,0,0,0,9.41874,30,220,9.41874
360,1,20,10,0.025,76,0,26,162.298,4259,11544,162.298
361,1,20,10,0.05,65,0,26,139.729,3407,9020,139.729
362,1,20,10,0.075,53,0,26,114.132,2427,6270,114.132
363,1,20,10,0.1,48,0,26,102.158,1995,5420,102.158
364,1,20,10,0.125,45,0,26,98.283,1667,4400,98.283
365,1,20,10,0.15,45,0,26,96.2288,1459,3940,96.2288
366,1,20,10,0.175,44,0,26,100.187,1291,3460,100.187
367,1,20,10,0.2,42,0,26,93.3396,1262,3200,93.3396
368,1,20,10,0.225,41,0,26,90.3335,1020,2700,90.3335
369,1,20,10,0.25,40,0,26,89.131,951,2560,89.131
370,1,20,10,0.275,39,0,25,87.2939,906,2380,87.2939
371,1,20,10,0.3,36,0,25,79.4947,838,2260,79.4947
372,1,20,10,0.325,38,0,28,84.2878,806,2140,84.2878
373,1,20,10,0.35,37,0,25,83.8536,774,2020,83.8536
374,1,20,10,0.375,36,0,24,81.599,696,1840,81.599
375,0,20,10,0.4,0,0,0,66.251,538,1500,66.251
376,0,20,10,0.425,0,0,0,42.9869,346,1120,42.9869
377,1,20,10,0.45,34,0,26,76.3382,637,1740,76.3382
378,1,20,10,0.475,35,0,26,78.0417,640,1700,78.0417
379,0,20,10,0.5,0,0,0,59.0029,445,1300,59.0029
380,1,20,10,0.525,35,0,26,77.5073,568,1520,77.5073
381,0,20,10,0.55,0,0,0,24.8666,148,600,24.8666
382,0,20,10,0.575,0,0,0,22.7957,136,560,22.7957
383,0,20,10,0.6,0,0,0,22.7957,132,540,22.7957
384,0,20,10,0.625,0,0,0,22.7957,124,520,22.7957
385,0,20,10,0.65,0,0,0,23.0295,148,520,23.0295
386,0,20,10,0.675,0,0,0,23.1631,121,500,23.1631
387,0,20,10,0.7,0,0,0,23.4637,121,500,23.4637
388,0,20,10,0.725,0,0,0,23.4637,120,480,23.4637
389,0,20,10,0.75,0,0,0,23.4637,122,480,23.4637
390,0,20,10,0.775,0,0,0,25.6849,138,520,25.6849
391,0,20,10,0.8,0,0,0,25.6181,133,500,25.6181
392,0,20,10,0.825,0,0,0,25.0336,118,480,25.0336
393,0,20,10,0.85,0,0,0,53.3914,325,960,53.3914
394,0,20,10,0.875,0,0,0,68.6392,430,1140,68.6392
395,0,20,10,0.9,0,0,0,20.9085,111,440,20.9085
396,0,20,10,0.925,0,0,0,20.8584,99,420,20.8584
397,0,20,10,0.95,0,0,0,20.7248,101,420,20.7248
